Date,S&P 500,FTSE 100
2021-01-04,3700.64990234375,6571.89990234375
2021-01-05,3726.860107421875,6612.2998046875
2021-01-06,3748.139892578125,6841.89990234375
2021-01-07,3803.7900390625,6857.0
2021-01-08,3824.679931640625,6873.2998046875
2021-01-11,3799.610107421875,6798.5
2021-01-12,3801.18994140625,6754.10009765625
2021-01-13,3809.840087890625,6745.5
2021-01-14,3795.5400390625,6802.0
2021-01-15,3768.25,6735.7001953125
2021-01-18,,6720.7001953125
2021-01-19,3798.909912109375,6713.0
2021-01-20,3851.85009765625,6740.39990234375
2021-01-21,3853.070068359375,6715.39990234375
2021-01-22,3841.469970703125,6695.10009765625
2021-01-25,3855.360107421875,6638.89990234375
2021-01-26,3849.6201171875,6654.0
2021-01-27,3750.77001953125,6567.39990234375
2021-01-28,3787.3798828125,6526.2001953125
2021-01-29,3714.239990234375,6407.5
2021-02-01,3773.860107421875,6466.39990234375
2021-02-02,3826.31005859375,6516.7001953125
2021-02-03,3830.169921875,6507.7998046875
2021-02-04,3871.739990234375,6503.7001953125
2021-02-05,3886.830078125,6489.2998046875
2021-02-08,3915.590087890625,6523.5
2021-02-09,3911.22998046875,6531.60009765625
2021-02-10,3909.8798828125,6524.39990234375
2021-02-11,3916.3798828125,6528.7001953125
2021-02-12,3934.830078125,6589.7998046875
2021-02-15,,6756.10009765625
2021-02-16,3932.590087890625,6748.89990234375
2021-02-17,3931.330078125,6710.89990234375
2021-02-18,3913.969970703125,6617.2001953125
2021-02-19,3906.7099609375,6624.0
2021-02-22,3876.5,6612.2001953125
2021-02-23,3881.3701171875,6625.89990234375
2021-02-24,3925.429931640625,6659.0
2021-02-25,3829.340087890625,6652.0
2021-02-26,3811.14990234375,6483.39990234375
2021-03-01,3901.820068359375,6588.5
2021-03-02,3870.2900390625,6613.7998046875
2021-03-03,3819.719970703125,6675.5
2021-03-04,3768.469970703125,6650.89990234375
2021-03-05,3841.93994140625,6630.5
2021-03-08,3821.35009765625,6719.10009765625
2021-03-09,3875.43994140625,6730.2998046875
2021-03-10,3898.81005859375,6725.60009765625
2021-03-11,3939.340087890625,6737.0
2021-03-12,3943.340087890625,6761.5
2021-03-15,3968.93994140625,6749.7001953125
2021-03-16,3962.7099609375,6803.60009765625
2021-03-17,3974.1201171875,6762.7001953125
2021-03-18,3915.4599609375,6779.7001953125
2021-03-19,3913.10009765625,6708.7001953125
2021-03-22,3940.590087890625,6726.10009765625
2021-03-23,3910.52001953125,6699.2001953125
2021-03-24,3889.139892578125,6712.89990234375
2021-03-25,3909.52001953125,6674.7998046875
2021-03-26,3974.5400390625,6740.60009765625
2021-03-29,3971.090087890625,6736.2001953125
2021-03-30,3958.550048828125,6772.10009765625
2021-03-31,3972.889892578125,6713.60009765625
2021-04-01,4019.8701171875,6737.2998046875
2021-04-05,4077.909912109375,
2021-04-06,4073.93994140625,6823.60009765625
2021-04-07,4079.949951171875,6885.2998046875
2021-04-08,4097.169921875,6942.2001953125
2021-04-09,4128.7998046875,6915.7998046875
2021-04-12,4127.990234375,6889.10009765625
2021-04-13,4141.58984375,6890.5
2021-04-14,4124.66015625,6939.60009765625
2021-04-15,4170.419921875,6983.5
2021-04-16,4185.47021484375,7019.5
2021-04-19,4163.259765625,7000.10009765625
2021-04-20,4134.93994140625,6859.89990234375
2021-04-21,4173.419921875,6895.2998046875
2021-04-22,4134.97998046875,6938.2001953125
2021-04-23,4180.169921875,6938.60009765625
2021-04-26,4187.6201171875,6963.10009765625
2021-04-27,4186.72021484375,6945.0
2021-04-28,4183.18017578125,6963.7001953125
2021-04-29,4211.47021484375,6961.5
2021-04-30,4181.169921875,6969.7998046875
2021-05-03,4192.66015625,
2021-05-04,4164.66015625,6923.2001953125
2021-05-05,4167.58984375,7039.2998046875
2021-05-06,4201.6201171875,7076.2001953125
2021-05-07,4232.60009765625,7129.7001953125
2021-05-10,4188.43017578125,7123.7001953125
2021-05-11,4152.10009765625,6948.0
2021-05-12,4063.0400390625,7004.60009765625
2021-05-13,4112.5,6963.2998046875
2021-05-14,4173.85009765625,7043.60009765625
2021-05-17,4163.2900390625,7032.89990234375
2021-05-18,4127.830078125,7034.2001953125
2021-05-19,4115.68017578125,6950.2001953125
2021-05-20,4159.1201171875,7019.7998046875
2021-05-21,4155.85986328125,7018.10009765625
2021-05-24,4197.0498046875,7051.60009765625
2021-05-25,4188.1298828125,7029.7998046875
2021-05-26,4195.990234375,7026.89990234375
2021-05-27,4200.8798828125,7019.7001953125
2021-05-28,4204.10986328125,7022.60009765625
2021-06-01,4202.0400390625,7080.5
2021-06-02,4208.1201171875,7108.0
2021-06-03,4192.85009765625,7064.39990234375
2021-06-04,4229.89013671875,7069.0
2021-06-07,4226.52001953125,7077.2001953125
2021-06-08,4227.259765625,7095.10009765625
2021-06-09,4219.5498046875,7081.0
2021-06-10,4239.18017578125,7088.2001953125
2021-06-11,4247.43994140625,7134.10009765625
2021-06-14,4255.14990234375,7146.7001953125
2021-06-15,4246.58984375,7172.5
2021-06-16,4223.7001953125,7185.0
2021-06-17,4221.85986328125,7153.39990234375
2021-06-18,4166.4501953125,7017.5
2021-06-21,4224.7900390625,7062.2998046875
2021-06-22,4246.43994140625,7090.0
2021-06-23,4241.83984375,7074.10009765625
2021-06-24,4266.490234375,7110.0
2021-06-25,4280.7001953125,7136.10009765625
2021-06-28,4290.60986328125,7073.0
2021-06-29,4291.7998046875,7087.60009765625
2021-06-30,4297.5,7037.5
2021-07-01,4319.93994140625,7125.2001953125
2021-07-02,4352.33984375,7123.2998046875
