Date,Nvidia,Amd
2021-08-03,19.7466983795166,112.55999755859375
2021-08-04,20.204118728637695,118.7699966430664
2021-08-05,20.565866470336914,112.3499984741211
2021-08-06,20.295795440673828,110.11000061035156
2021-08-09,20.22504425048828,107.58000183105469
2021-08-10,19.867280960083008,106.4800033569336
2021-08-11,19.631099700927734,107.68000030517578
2021-08-12,19.83638572692871,106.5
2021-08-13,20.11841583251953,110.55000305175781
2021-08-16,19.88123321533203,107.4800033569336
2021-08-17,19.390932083129883,107.55999755859375
2021-08-18,18.974369049072266,103.44000244140625
2021-08-19,19.729755401611328,103.69999694824219
2021-08-20,20.744245529174805,104.6500015258789
2021-08-23,21.882312774658203,108.7699966430664
2021-08-24,21.717876434326172,107.6500015258789
2021-08-25,22.136430740356445,108.30000305175781
2021-08-26,21.9919376373291,107.2699966430664
2021-08-27,22.55797576904297,111.4000015258789
2021-08-30,22.60979652404785,111.31999969482422
2021-08-31,22.31177520751953,110.72000122070312
2021-09-01,22.36758804321289,109.98999786376953
2021-09-02,22.322736740112305,109.19999694824219
2021-09-03,22.768278121948242,109.91999816894531
2021-09-07,22.587865829467773,109.1500015258789
2021-09-08,22.26592445373535,106.16999816894531
2021-09-09,22.10445785522461,106.1500015258789
2021-09-10,22.404468536376953,105.19999694824219
2021-09-13,22.079538345336914,104.80000305175781
2021-09-14,22.16924285888672,105.7300033569336
2021-09-15,22.26791763305664,105.5999984741211
2021-09-16,22.16924285888672,106.22000122070312
2021-09-17,21.82836151123047,103.87999725341797
2021-09-20,21.043933868408203,101.55000305175781
2021-09-21,21.176502227783203,102.81999969482422
2021-09-22,21.86922836303711,104.37999725341797
2021-09-23,22.408458709716797,106.1500015258789
2021-09-24,22.008766174316406,105.80000305175781
2021-09-27,21.589147567749023,108.16000366210938
2021-09-28,20.631288528442383,101.5199966430664
2021-09-29,20.449886322021484,100.3499984741211
2021-09-30,20.648235321044922,102.9000015258789
2021-10-01,20.674148559570312,102.44999694824219
2021-10-04,19.667449951171875,100.33999633789062
2021-10-05,20.384098052978516,101.80999755859375
2021-10-06,20.632282257080078,103.63999938964844
2021-10-07,21.00606346130371,106.44999694824219
2021-10-08,20.762861251831055,105.05999755859375
