Date,Nvidia,Amd
2021-08-04,0.02316439641350776,0.055170568755920746
2021-08-05,0.017904653331227482,-0.054054040165034456
2021-08-06,-0.013132003460813224,-0.019937675960765566
2021-08-09,-0.0034860023295149034,-0.022977011763444022
2021-08-10,-0.01768912275169121,-0.010224934517556017
2021-08-11,-0.01188795082879257,0.011269692997845304
2021-08-12,0.01045718421934727,-0.010958398048212747
2021-08-13,0.01421781717059245,0.03802819766908749
2021-08-16,-0.011789328700727797,-0.0277702361834119
2021-08-17,-0.02466150499276054,0.0007442705541653716
2021-08-18,-0.021482362594628768,-0.03830415777894669
2021-08-19,0.03981088122537568,0.0025134812519287397
2021-08-20,0.05141929572429582,0.009161085878439001
2021-08-23,0.05486182873620615,0.03936927909330867
2021-08-24,-0.007514577733413241,-0.010296912308113915
2021-08-25,0.01927234033658687,0.00603810047993969
2021-08-26,-0.006527389384591298,-0.009510677559253167
2021-08-27,0.025738438379030004,0.03850102556220647
2021-08-30,0.0022972254042403772,-0.0007181492814980484
2021-08-31,-0.013181070259139394,-0.005389853357581242
2021-09-01,0.0025014968631698054,-0.006593238338919893
2021-09-02,-0.0020051917539761765,-0.007182479596970381
2021-09-03,0.019959084185019904,0.006593417956269665
2021-09-07,-0.00792384437304261,-0.007005064191166865
2021-09-08,-0.014252846114944706,-0.027301908522896823
2021-09-09,-0.007251735666589654,-0.0001883455157886127
2021-09-10,0.013572406214044985,-0.008949642618753195
2021-09-13,-0.014502918938356757,-0.0038022234609110805
2021-09-14,0.004062789363924901,0.008874048455098649
2021-09-15,0.004450976282682095,-0.0012295931020981365
2021-09-16,-0.004431252881205161,0.00587123821534874
2021-09-17,-0.015376318885856999,-0.022029786672880136
2021-09-20,-0.03593616691837753,-0.02242967138299079
2021-09-21,0.006299599694808755,0.012506121170859252
2021-09-22,0.03271201862340889,0.015172121797548233
2021-09-23,0.02465703580063594,0.01695731288595126
2021-09-24,-0.017836681254078224,-0.003297206491662319
2021-09-27,-0.01906597594994064,0.022306243310759033
2021-09-28,-0.04436761740132522,-0.06139059536079783
2021-09-29,-0.008792577650727718,-0.011524805039729302
2021-09-30,0.009699271472714432,0.02541109208302994
2021-10-01,0.0012549856257682013,-0.004373222263981624
2021-10-04,-0.04869359458735356,-0.020595418967338186
2021-10-05,0.0364382827253078,0.014650202056545325
2021-10-06,0.012175383156837638,0.017974677093980818
2021-10-07,0.018116328555720873,0.027113060354517993
2021-10-08,-0.011577714687983853,-0.013057768243283974
2021-10-11,-0.0065290129205062275,-0.003616954713957954
2021-10-12,-0.0011598160494573628,0.0034390581706347234
2021-10-13,0.012965438304004318,0.039223178890633426
2021-10-14,0.0385402073832426,0.025925193355801124
2021-10-15,0.005334274327319921,0.0011608615527489707
2021-10-18,0.016467083689002182,0.03844093340182453
2021-10-19,0.003060206244656749,-0.0008588720592543897
2021-10-20,-0.008389570432325244,0.0005157530959285506
2021-10-21,0.026647839084778635,0.02525992316198722
2021-10-22,0.0014983694016912352,0.004106241986514547
2021-10-25,0.019361245780562975,0.021198472058058693
2021-10-26,0.06695126006882912,0.004658382575849718
2021-10-27,-0.010761639842826631,-0.005287574426627084
2021-10-28,0.020039787340663473,-0.009159266669678146
2021-10-29,0.025099650991353917,-0.0076758028810346435
2021-11-01,0.010169060966014776,0.04158695716872107
2021-11-02,0.022224668949087478,0.019164687631955557
2021-11-03,0.0074621402442542895,0.02272194302504582
2021-11-04,0.12042272343508476,0.05339769620689383
2021-11-05,-0.001644299391814097,-0.008436390269886407
2021-11-08,0.03535898262309578,0.10136429291056093
2021-11-09,-0.004772155495523567,-0.008257894665175458
2021-11-10,-0.039077635374983766,-0.06077090493575521
2021-11-11,0.03160322128555859,0.04389790236643787
2021-11-12,0.0,0.012875864348618205
2021-11-15,-0.012010460305056592,-0.009466454136603186
2021-11-16,0.005928330532868342,0.04068531115835228
2021-11-17,-0.03118878604932851,-0.007281079911916399
2021-11-18,0.08249874697600057,0.02431616243966417
2021-11-19,0.04135792925985737,0.0025158004057526107
2021-11-22,-0.031196303966670946,-0.018595967579615014
2021-11-23,-0.006571516804166122,-0.017046984203271998
2021-11-24,0.02923198695375495,0.05256139927331449
2021-11-26,-0.03583889892722192,-0.018948069932440692
2021-11-29,0.05945452772843196,0.04586271051925017
2021-11-30,-0.02097298197299846,-0.021864050798921175
2021-12-01,-0.03786140616835931,-0.058470637067229214
2021-12-02,0.021981987070736952,0.010529086305433921
2021-12-03,-0.04460557781452934,-0.0442659841595372
2021-12-06,-0.021372901712293335,-0.0343725931328136
2021-12-07,0.07956832667184544,0.04163676575991748
2021-12-08,-0.018533776929565704,0.0026924361285129983
2021-12-09,-0.04197814258768573,-0.04916000495458872
2021-12-10,-0.009577099153000979,0.0032584860851119224
2021-12-13,-0.06745484327411955,-0.03428365135600575
2021-12-14,0.00624990827543126,0.01345293729972119
2021-12-15,0.0748843920058675,0.08038343219662858
2021-12-16,-0.0680258310244044,-0.053651881299328075
2021-12-17,-0.02064337149656781,-0.0064194993765622765
2021-12-20,-0.002949450120775743,-0.014156057700487779
2021-12-21,0.048919539569759696,0.062223834744846274
2021-12-22,0.011177988358261004,-0.0025649574848353174
2021-12-23,0.008163274603373516,0.01570749534430904
2021-12-27,0.04402832930022793,0.05624744255531566
